,name,address_1,address_2,post_town,postcode,sic_code_1,lat,long,borough
135,PEPPERCORNS CATERING SERVICES LIMITED,27 OLD GLOUCESTER STREET,,LONDON,WC1N3AX,56102 - Unlicensed restaurants and cafes,51.520592,-0.12220999999999999,Camden
136,PRISTINE GLOBAL LTD,"CROWN HOUSE, 27",OLD GLOUCESTER STREET,LONDON,WC1N3AX,56102 - Unlicensed restaurants and cafes,51.520592,-0.12220999999999999,Camden
137,SHADBOLT AND BLACK'S LTD,27 OLD GLOUCESTER STREET,,LONDON,WC1N3AX,56102 - Unlicensed restaurants and cafes,51.520592,-0.12220999999999999,Camden
138,THE KETTLE AND DUTCH POT LTD,27 OLD GLOUCESTER STREET,,LONDON,WC1N3AX,56102 - Unlicensed restaurants and cafes,51.520592,-0.12220999999999999,Camden
139,THE PARENT HOOD LTD,27 OLD GLOUCESTER STREET,,LONDON,WC1N3AX,56102 - Unlicensed restaurants and cafes,51.520592,-0.12220999999999999,Camden
140,ST GEORGE'S HOLBORN LIMITED,ST GEORGE'S CHURCH,44 QUEEN SQUARE,LONDON,WC1N3AH,56102 - Unlicensed restaurants and cafes,51.520946,-0.12241199999999999,Camden
141,FGBF UK LTD,10 JOHN STREET,,LONDON,WC1N2EB,56102 - Unlicensed restaurants and cafes,51.522259000000005,-0.115165,Camden
142,FIVE GUYS FOODS UK LIMITED,10 JOHN STREET,,LONDON,WC1N2EB,56102 - Unlicensed restaurants and cafes,51.522259000000005,-0.115165,Camden
143,CAFE ROMANO LIMITED,11 GRENVILLE STREET,,LONDON,WC1N1LZ,56102 - Unlicensed restaurants and cafes,51.523302,-0.12228900000000001,Camden
144,SACERO LTD,11 GRENVILLE STREET,,LONDON,WC1N1LX,56102 - Unlicensed restaurants and cafes,51.523485,-0.122625,Camden
145,BILEN'S CAFE LTD,93 GUILFORD STREET,,LONDON,WC1N1DN,56102 - Unlicensed restaurants and cafes,51.524423,-0.12000599999999999,Camden
146,B AND P PARTNERS LIMITED,49 MARCHMONT STREET,,LONDON,WC1N1AP,56102 - Unlicensed restaurants and cafes,51.524995000000004,-0.12540199999999999,Camden
147,JDT LONDON LTD,76 MARCHMONT STREET,,LONDON,WC1N1AG,56102 - Unlicensed restaurants and cafes,51.526022,-0.125519,Camden
148,PURE INTENTION LIMITED,15 THANET STREET,,LONDON,WC1H9QL,56102 - Unlicensed restaurants and cafes,51.52745,-0.12523299999999998,Camden
149,SYRUP OF SOOT LIMITED,15 THANET STREET,,LONDON,WC1H9QL,56102 - Unlicensed restaurants and cafes,51.52745,-0.12523299999999998,Camden
150,CHOWDHARY LIMITED,LYNTON HOUSE,7-12 TAVISTOCK SQUARE,LONDON,WC1H9LT,56102 - Unlicensed restaurants and cafes,51.525382,-0.12824100000000002,Camden
151,LA FAVORITA RESTAURANT LIMITED,GRIFFINS,TAVISTOCK HOUSE SOUTH,LONDON,WC1H9LG,56102 - Unlicensed restaurants and cafes,51.526365000000006,-0.128417,Camden
152,MAZILAN LTD,97 JUDD STREET,,LONDON,WC1H9JG,56102 - Unlicensed restaurants and cafes,51.527588,-0.125022,Camden
